Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","22/07/2023 17:55 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H9ihDu
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Other people in need of international protection","Stateless persons","Host Community","Others of concern"
2016,Afghanistan,AFG,-,-,2501447,369072,1797551,-,0,-,114221
2016,Albania,ALB,-,-,11060,23760,0,-,0,-,0
2016,Algeria,DZA,-,-,3705,7177,0,-,0,-,7
2016,Andorra,AND,-,-,0,5,0,-,0,-,0
2016,Angola,AGO,-,-,8388,4767,0,-,0,-,19957
2016,"Antigua and Barbuda",ATG,-,-,82,30,0,-,0,-,0
2016,Egypt,EGY,-,-,19792,13026,0,-,0,-,111
2016,Argentina,ARG,-,-,120,219,0,-,0,-,0
2016,Armenia,ARM,-,-,10707,13092,0,-,0,-,12
2016,Australia,AUS,-,-,15,10,0,-,0,-,0
2016,Austria,AUT,-,-,0,5,0,-,0,-,0
2016,Azerbaijan,AZE,-,-,10118,8098,613129,-,0,-,0
2016,Bahrain,BHR,-,-,461,118,0,-,0,-,0
2016,Barbados,BRB,-,-,144,44,0,-,0,-,0
2016,Burundi,BDI,-,-,408066,24395,141221,-,0,-,164066
2016,Belgium,BEL,-,-,44,20,0,-,0,-,0
2016,Benin,BEN,-,-,479,1145,0,-,0,-,6
2016,Bangladesh,BGD,-,-,13842,25929,0,-,0,-,15
2016,Bahamas,BHS,-,-,298,119,0,-,0,-,0
2016,Bhutan,BTN,-,-,11757,277,0,-,0,-,0
2016,"Burkina Faso",BFA,-,-,2352,4195,0,-,0,-,0
2016,Belarus,BLR,-,-,3831,1985,0,-,0,-,0
2016,"Bolivia (Plurinational State of)",BOL,-,-,530,411,0,-,0,-,0
2016,Botswana,BWA,-,-,265,127,0,-,0,-,0
2016,Brazil,BRA,-,-,803,3760,0,-,0,-,0
2016,"Brunei Darussalam",BRN,-,-,0,5,0,-,0,-,0
2016,"Bosnia and Herzegovina",BIH,-,-,18194,3108,98324,-,0,-,52437
2016,Bulgaria,BGR,-,-,799,258,0,-,0,-,0
2016,Belize,BLZ,-,-,58,160,0,-,0,-,0
2016,Cambodia,KHM,-,-,12428,380,0,-,0,-,0
2016,Canada,CAN,-,-,76,54,0,-,0,-,0
2016,"Central African Rep.",CAF,-,-,490879,10603,411785,-,0,-,21010
2016,"Cayman Islands",CYM,-,-,6,0,0,-,0,-,0
2016,Chad,TCD,-,-,14176,3178,124342,-,0,-,16718
2016,China,CHN,-,-,207768,72165,0,-,0,-,0
2016,Chile,CHL,-,-,495,200,0,-,0,-,0
2016,Cameroon,CMR,-,-,10344,10943,198889,-,0,-,27
2016,Congo,COG,-,-,13291,4346,15303,-,0,-,99
2016,"Dem. Rep. of the Congo",COD,-,-,537474,82709,2232900,-,0,-,9473
2016,Comoros,COM,-,-,572,226,0,-,0,-,0
2016,Colombia,COL,-,-,311059,12581,7410816,-,0,-,0
2016,"Costa Rica",CRI,-,-,202,312,0,-,0,-,0
2016,Cuba,CUB,-,-,5940,5025,0,-,0,-,0
2016,"Curacao ",CUW,-,-,35,0,0,-,0,-,0
2016,"Cabo Verde",CPV,-,-,10,98,0,-,0,-,0
2016,Cyprus,CYP,-,-,0,5,0,-,0,-,0
2016,Czechia,CZE,-,-,1266,233,0,-,0,-,0
2016,Denmark,DNK,-,-,0,5,0,-,0,-,0
2016,Djibouti,DJI,-,-,1437,831,0,-,0,-,0
